"","Scientific.Name","x","y"
"8150","Phascolarctos cinereus",249562.481603226,5851035.12299693
"8151","Phascolarctos cinereus",340862.281918682,5749735.66042685
"8152","Phascolarctos cinereus",350062.100200855,5833034.69461367
"8153","Phascolarctos cinereus",476962.415334422,5751734.80061681
"8154","Phascolarctos cinereus",402083.315533246,5918186.66317239
"8155","Phascolarctos cinereus",348662.110459694,5957735.03730567
"8156","Phascolarctos cinereus",443683.618695532,5787921.40944126
"8157","Phascolarctos cinereus",406561.857581199,5869734.69142226
"8158","Phascolarctos cinereus",-10225.8251143599,5771467.07951881
"8159","Phascolarctos cinereus",401084.046862753,5917348.51231296
"8160","Phascolarctos cinereus",359398.697245507,6030948.16131821
"8161","Phascolarctos cinereus",409062.077980241,5870535.58472469
"8162","Phascolarctos cinereus",14370.0095406657,5775743.72128873
"8163","Phascolarctos cinereus",350248.8925271,5741251.28150694
"8164","Phascolarctos cinereus",259862.044178373,5808135.18486765
"8165","Phascolarctos cinereus",36244.5615947489,5758485.41232752
"8166","Phascolarctos cinereus",427662.394718923,5983635.56280018
"8167","Phascolarctos cinereus",458162.586130497,5709634.88774499
"8168","Phascolarctos cinereus",361662.474040462,5929035.42759752
"8169","Phascolarctos cinereus",325462.044152423,5761035.58259638
"8170","Phascolarctos cinereus",287201.833125435,5865626.44039384
"8171","Phascolarctos cinereus",437462.321684761,5756535.27644024
"8172","Phascolarctos cinereus",19429.2559086463,5760070.03628099
"8173","Phascolarctos cinereus",274861.908780349,5795434.88243508
"8174","Phascolarctos cinereus",215679.159971415,5728329.7050331
"8175","Phascolarctos cinereus",526138.039085474,5768179.51550074
"8176","Phascolarctos cinereus",19433.2781143282,5761084.62476688
"8177","Phascolarctos cinereus",402262.543598573,5727634.53956785
"8178","Phascolarctos cinereus",725662.965412536,5857034.92310055
"8179","Phascolarctos cinereus",18476.6880246607,5782052.48337201
"8180","Phascolarctos cinereus",322762.441964629,5752935.11553506
"8181","Phascolarctos cinereus",10902.5025133707,5784176.82297134
"8182","Phascolarctos cinereus",261061.895640099,5856135.48470826
"8183","Phascolarctos cinereus",12383.9048850776,5787688.85899259
"8184","Phascolarctos cinereus",314345.840846806,5751737.54503859
"8185","Phascolarctos cinereus",60287.0022818377,5769387.55205131
"8186","Phascolarctos cinereus",238568.540791573,5828806.49946361
"8187","Phascolarctos cinereus",446415.803801399,5783645.67644658
"8188","Phascolarctos cinereus",353462.220905388,5947134.84438659
"8189","Phascolarctos cinereus",396362.198153558,5921435.29765563
"8190","Phascolarctos cinereus",410662.465862443,5923535.54854827
"8191","Phascolarctos cinereus",254661.665204061,5802735.07952577
"8192","Phascolarctos cinereus",-14824.1417722565,5774816.61428576
"8193","Phascolarctos cinereus",347161.889480759,5946735.40614233
"8194","Phascolarctos cinereus",403961.943095221,5921535.47746285
"8195","Phascolarctos cinereus",153641.153806067,5894706.24604934
"8196","Phascolarctos cinereus",397462.624092941,5884334.93205447
"8197","Phascolarctos cinereus",367462.647039233,5887135.21641214
